spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
203,0,12,44,15081471_AF401282.1_84-767,CUST_45_PI426244603,13837,-4,2,2,-1,1,-1,0,2,1
204,0,11,64,15081471_AF401282.1_84-767,CUST_43_PI426244603,13991,1,-1,-1,-1,0,-9,0,0,1
205,0,96,90,15081471_AF401282.1_84-767,CUST_44_PI426244603,38,892,1035,773,272,315,332,369,377,3
206,0,24,108,15081471_AF401282.1_84-767,CUST_45_PI426244603,11837,0,-1,2,0,1,2,-1,-1,-1
207,0,62,120,15081471_AF401282.1_84-767,CUST_44_PI426244603,5599,1169,1427,786,461,374,515,313,441,5
208,0,25,135,15081471_AF401282.1_84-767,CUST_45_PI426244603,11741,0,2,-1,0,0,1,1,3,1
209,0,86,145,15081471_AF401282.1_84-767,CUST_43_PI426244603,1732,2,8,1,1,2,2,1,-5,-1
210,0,43,156,15081471_AF401282.1_84-767,CUST_43_PI426244603,8697,1,3,0,0,-2,2,0,-2,1
211,0,9,21,15081471_AF401282.1_84-969,CUST_61_PI426244603,14422,1,5,-1,1,0,0,-1,0,-1
212,0,71,38,15081471_AF401282.1_84-969,CUST_63_PI426244603,4164,2,-3,1,1,-2,0,0,-1,0
213,0,10,69,15081471_AF401282.1_84-969,CUST_63_PI426244603,14234,1,0,0,1,0,2,1,1,-3
214,0,46,73,15081471_AF401282.1_84-969,CUST_62_PI426244603,8328,1,0,-1,2,1,5,-1,0,1
215,0,64,73,15081471_AF401282.1_84-969,CUST_63_PI426244603,5376,-1,3,2,-5,0,1,0,-8,0
216,0,72,92,15081471_AF401282.1_84-969,CUST_61_PI426244603,3973,1,5,0,1,0,-1,-2,1,2
217,0,78,123,15081471_AF401282.1_84-969,CUST_61_PI426244603,3055,4,1,-1,0,0,0,0,2,1
218,0,59,139,15081471_AF401282.1_84-969,CUST_62_PI426244603,6163,0,-1,-1,-1,0,3,-1,0,-1
219,0,27,144,15081471_AF401282.1_84-969,CUST_62_PI426244603,11327,2,0,2,-7,1,3,-1,1,2
220,0,49,3,154814309_EU035527.1_1-678,CUST_14_PI426244603,7871,5,1,0,0,-4,1,0,0,-1
221,0,42,8,154814309_EU035527.1_1-678,CUST_14_PI426244603,8935,-6,1,1,-1,1,2,1,-1,1
222,0,62,28,154814309_EU035527.1_1-678,CUST_15_PI426244603,5645,-1,4,-1,-7,1,2,0,0,-2
223,0,22,103,154814309_EU035527.1_1-678,CUST_13_PI426244603,12249,2,-2,-1,0,2,3,1,2,0
224,0,16,120,154814309_EU035527.1_1-678,CUST_15_PI426244603,13143,1,1,1,2,-1,-1,-1,-1,-1
225,0,96,126,154814309_EU035527.1_1-678,CUST_14_PI426244603,20,3,4,1,0,0,2,1,1,0
226,0,8,136,154814309_EU035527.1_1-678,CUST_15_PI426244603,14447,1,4,-1,-1,0,-2,-2,1,-1
227,0,65,139,154814309_EU035527.1_1-678,CUST_13_PI426244603,5179,0,1,0,-1,1,1,1,-1,1
228,0,58,151,154814309_EU035527.1_1-678,CUST_13_PI426244603,6321,2,-1,0,1,1,-2,2,0,-2
229,0,19,19,156571757_EU074223.1_116-340,CUST_129_PI426246026,12783,2,-3,1,-2,0,2,1,-1,0
230,0,82,102,156571757_EU074223.1_116-340,CUST_129_PI426246026,2328,1,-4,0,1,1,3,-20,-4,1
231,0,16,158,156571757_EU074223.1_116-340,CUST_129_PI426246026,13124,3,-1,0,2,-4,0,3,2,-1
232,0,95,10,156571757_EU074223.1_555-719,CUST_132_PI426246026,242,4,4,-1,-1,-1,0,0,1,0
233,0,63,53,156571757_EU074223.1_555-719,CUST_132_PI426246026,5550,1,1,-4,-1,-1,0,0,1,-2
